Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2010,699,1,156,"H3","1209",1,,93879,6949620,0
2010,699,2,156,"H3","1209",1,,,249891,0
2010,699,1,156,"H3","120991",8,87758,87758,5779859,0
2010,699,2,156,"H3","120991",1,,,192962,0
2010,699,1,156,"H3","120999",8,2730,2730,43344,0
2010,699,2,156,"H3","120999",1,,,56929,0
2010,699,1,156,"H3","121020",8,11699,11699,35613,0
2010,699,1,156,"H3","1211",1,,796463,1282210,0
2010,699,2,156,"H3","1211",1,,574121,2558650,4
2010,699,1,156,"H3","121120",8,200,200,835,0
2010,699,1,156,"H3","121190",8,796263,796263,1281375,0
2010,699,2,156,"H3","121190",8,574121,574121,2558650,6
2010,699,1,156,"H3","121220",8,65055,65055,55365,0
2010,699,2,156,"H3","121220",1,,,44121,0
2010,699,1,156,"H3","121299",8,28500,28500,26788,0
2010,699,2,156,"H3","121299",8,8231,8231,20874,6
2010,699,1,156,"H3","13",1,,,7577794,0
2010,699,2,156,"H3","13",1,,,44246033,0
2010,699,1,156,"H3","130190",8,185373,185373,1460945,0
2010,699,2,156,"H3","130190",1,,,872424,0
2010,699,1,156,"H3","1302",1,,391883,5527009,0
2010,699,2,156,"H3","1302",1,,6122375,43368379,4
2010,699,1,156,"H3","130212",8,225,225,1816,0
2010,699,1,156,"H3","130213",8,1700,1700,26001,0
2010,699,1,156,"H3","130219",8,108990,108990,2889578,0
2010,699,2,156,"H3","130219",8,99021,99021,2877431,6
2010,699,1,156,"H3","130231",8,99491,99491,1088422,0
2010,699,1,156,"H3","130239",8,15052,15052,343548,0
2010,699,2,156,"H3","130239",8,27115,27115,249389,6
2010,699,1,156,"H3","140110",8,132451,132451,110589,0
2010,699,2,156,"H3","140110",8,349,349,405,6
2010,699,1,156,"H3","1404",8,1800,1800,5015,0
2010,699,2,156,"H3","1404",8,83831286,83831286,43259775,6
2010,699,1,156,"H3","15",1,,,5181288,0
2010,699,2,156,"H3","15",1,,,223376780,0
2010,699,1,156,"H3","1504",1,,24528,291075,0
2010,699,2,156,"H3","1504",1,,,2577525,0
2010,699,2,156,"H3","150410",8,9,9,76,6
2010,699,1,156,"H3","150420",8,24528,24528,291075,0
2010,699,2,156,"H3","150420",1,,,2577450,0
2010,699,1,156,"H3","1505",8,308662,308662,1027275,0
2010,699,1,156,"H3","150500",8,308662,308662,1027275,0
2010,699,2,156,"H3","150600",1,,,4881,0
2010,699,1,156,"H3","150790",8,16000,16000,29881,0
2010,699,2,156,"H3","150890",8,135126,135126,320214,6
2010,699,1,156,"H3","1509",8,100,100,268,0
2010,699,1,156,"H3","1511",8,983000,983000,924671,0
2010,699,1,156,"H3","151110",8,983000,983000,924671,0
2010,699,2,156,"H3","1514",8,2520,2520,2603,6
2010,699,2,156,"H3","151491",8,2520,2520,2603,6
2010,699,2,156,"H3","151530",8,147157523,147157523,218292377,6
2010,699,2,156,"H3","1516",1,,413276,601295,4
2010,699,2,156,"H3","1518",8,77568,77568,100361,6
2010,699,2,156,"H3","151800",8,77568,77568,100361,6
2010,699,1,156,"H3","1520",1,,160000,37160,0
2010,699,1,156,"H3","152000",8,160000,160000,37160,0
2010,699,1,156,"H3","152110",8,12000,12000,73685,0
2010,699,1,156,"H3","152190",8,44282,44282,67147,0
2010,699,1,156,"H3","1603",8,111,111,7922,0
2010,699,2,156,"H3","1603",8,41916,41916,568652,6
2010,699,1,156,"H3","160300",8,111,111,7922,0
2010,699,2,156,"H3","160300",8,41916,41916,568652,6
2010,699,1,156,"H3","1605",1,,122564,447949,0
2010,699,2,156,"H3","1605",1,,,10595176,0
2010,699,2,156,"H3","160520",8,141134,141134,1102840,6
2010,699,1,156,"H3","160590",8,86044,86044,324789,0
2010,699,2,156,"H3","160590",1,,,9492336,0
2010,699,1,156,"H3","17",1,,,13571439,0
2010,699,2,156,"H3","17",1,,,2500995,0
2010,699,1,156,"H3","1701",8,6266150,6266150,4979784,0
2010,699,2,156,"H3","1701",8,5055655,5055655,2402834,6
2010,699,1,156,"H3","170112",8,22050,22050,31037,0
